25-03-10 13:22:52.315 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 22.0.1 on DESKTOP-5SMSKLT with PID 17836 (C:\Akash\IntelliJIdeaI\Projects\journalAppAugust\target\classes started by aryson in C:\Akash\IntelliJIdeaI\Projects\journalAppAugust) 
25-03-10 13:22:54.614 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-01.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-10 13:22:54.644 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-00.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-10 13:22:54.646 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-srv-aryson.gn3ed.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server aryson-shard-00-02.gn3ed.mongodb.net:27017 to client view of cluster 
25-03-10 13:22:55.099 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@168142da from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=aryson-shard-00-01.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=aryson-shard-00-02.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=aryson-shard-00-00.gn3ed.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-03-10 13:22:55.343 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:102660}] to aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.343 [cluster-rtt-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:102660}] to aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.343 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=aryson-shard-00-01.gn3ed.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=354105600, setName='atlas-scm7ng-shard-0', canonicalAddress=aryson-shard-00-01.gn3ed.mongodb.net:27017, hosts=[aryson-shard-00-01.gn3ed.mongodb.net:27017, aryson-shard-00-00.gn3ed.mongodb.net:27017, aryson-shard-00-02.gn3ed.mongodb.net:27017], passives=[], arbiters=[], primary='aryson-shard-00-01.gn3ed.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000006, setVersion=1, topologyVersion=TopologyVersion{processId=67cac54383bb0db11d723c22, counter=6}, lastWriteDate=Mon Mar 10 13:22:55 IST 2025, lastUpdateTimeNanos=12382142428600} 
25-03-10 13:22:55.344 [cluster-rtt-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:96546}] to aryson-shard-00-00.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.343 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-02.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:95745}] to aryson-shard-00-02.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.343 [cluster-rtt-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-02.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:95745}] to aryson-shard-00-02.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.343 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:96546}] to aryson-shard-00-00.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.344 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-02.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=aryson-shard-00-02.gn3ed.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=330724000, setName='atlas-scm7ng-shard-0', canonicalAddress=aryson-shard-00-02.gn3ed.mongodb.net:27017, hosts=[aryson-shard-00-01.gn3ed.mongodb.net:27017, aryson-shard-00-00.gn3ed.mongodb.net:27017, aryson-shard-00-02.gn3ed.mongodb.net:27017], passives=[], arbiters=[], primary='aryson-shard-00-01.gn3ed.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67cac652aa410d7769098957, counter=3}, lastWriteDate=Mon Mar 10 13:22:55 IST 2025, lastUpdateTimeNanos=12382142553700} 
25-03-10 13:22:55.346 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-00.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=aryson-shard-00-00.gn3ed.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=353664500, setName='atlas-scm7ng-shard-0', canonicalAddress=aryson-shard-00-00.gn3ed.mongodb.net:27017, hosts=[aryson-shard-00-01.gn3ed.mongodb.net:27017, aryson-shard-00-00.gn3ed.mongodb.net:27017, aryson-shard-00-02.gn3ed.mongodb.net:27017], passives=[], arbiters=[], primary='aryson-shard-00-01.gn3ed.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67cac435c3ec2203cc77e013, counter=4}, lastWriteDate=Mon Mar 10 13:22:55 IST 2025, lastUpdateTimeNanos=12382142428600} 
25-03-10 13:22:55.349 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000006 from replica set primary aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.349 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 1 from replica set primary aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.349 [cluster-ClusterId{value='67ce9a56594b3f7cba9cc9d1', description='null'}-aryson-shard-00-01.gn3ed.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.566 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:102647}] to aryson-shard-00-01.gn3ed.mongodb.net:27017 
25-03-10 13:22:55.845 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static java.lang.String net.engineeringdigest.journalApp.Service.WeatherService.apiKey 
25-03-10 13:22:56.561 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ee6dc82, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f86f9cf, org.springframework.security.web.context.SecurityContextPersistenceFilter@590013c7, org.springframework.security.web.header.HeaderWriterFilter@3d0352, org.springframework.security.web.authentication.logout.LogoutFilter@283a8ad6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1b47b7f5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7b211077, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@8ac12e6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@adafe19, org.springframework.security.web.session.SessionManagementFilter@6a4af081, org.springframework.security.web.access.ExceptionTranslationFilter@489f62a3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6f867b0c] 
25-03-10 13:22:57.014 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-03-10 13:22:57.027 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
25-03-10 13:22:57.041 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 5.272 seconds (JVM running for 5.887) 
